date,holiday_name
2014-01-01,신정연휴
2014-01-30,설날 전날
2014-01-31,설날
2014-02-01,설날 다음날
2014-03-01,삼일절
2014-05-05,어린이날
2014-05-06,석가탄신일
2014-06-04,지방선거일
2014-06-06,현충일
2014-08-15,광복절
2014-09-07,추석 전날
2014-09-08,추석
2014-09-09,추석 다음날
2014-09-10,추석 대체 휴일
2014-10-03,개천절
2014-10-09,한글날
2014-12-25,기독탄신일
2015-01-01,신정연휴
2015-02-18,설날 전날
2015-02-19,설날
2015-02-20,설날 다음날
2015-03-01,삼일절
2015-05-05,어린이날
2015-05-25,석가탄신일
2015-06-06,현충일
2015-08-14,임시공휴일
2015-08-15,광복절
2015-09-26,추석 전날
2015-09-27,추석
2015-09-28,추석 다음날
2015-09-29,추석 대체 휴일
2015-10-03,개천절
2015-10-09,한글날
2015-12-25,기독탄신일
2016-01-01,신정연휴
2016-02-07,설날 전날
2016-02-08,설날
2016-02-09,설날 다음날
2016-02-10,설날 대체 휴일
2016-03-01,삼일절
2016-04-13,국회의원 선거일
2016-05-05,어린이날
2016-05-06,임시공휴일
2016-05-14,석가탄신일
2016-06-06,현충일
2016-08-15,광복절
2016-09-14,추석 전날
2016-09-15,추석
2016-09-16,추석 다음날
2016-10-03,개천절
2016-10-09,한글날
2016-12-25,기독탄신일
2017-01-01,신정연휴
2017-01-27,설날 전날
2017-01-28,설날
2017-01-29,설날 다음날
2017-01-30,설날 대체 휴일
2017-03-01,삼일절
2017-05-03,부처님오신날
2017-05-05,어린이날
2017-05-09,대통령 선거일
2017-06-06,현충일
2017-08-15,광복절
2017-10-02,임시공휴일
2017-10-03,개천절; 추석 전날
2017-10-04,추석
2017-10-05,추석 다음날
2017-10-06,추석 대체 휴일
2017-10-09,한글날
2017-12-25,기독탄신일
2018-01-01,신정연휴
2018-02-15,설날 전날
2018-02-16,설날
2018-02-17,설날 다음날
2018-03-01,삼일절
2018-05-05,어린이날
2018-05-07,어린이날 대체 휴일
2018-05-22,부처님오신날
2018-06-06,현충일
2018-06-13,지방선거일
2018-08-15,광복절
2018-09-23,추석 전날
2018-09-24,추석
2018-09-25,추석 다음날
2018-09-26,추석 대체 휴일
2018-10-03,개천절
2018-10-09,한글날
2018-12-25,기독탄신일
2019-01-01,신정연휴
2019-02-04,설날 전날
2019-02-05,설날
2019-02-06,설날 다음날
2019-03-01,삼일절
2019-05-05,어린이날
2019-05-06,어린이날 대체 휴일
2019-05-12,부처님오신날
2019-06-06,현충일
2019-08-15,광복절
2019-09-12,추석 전날
2019-09-13,추석
2019-09-14,추석 다음날
2019-10-03,개천절
2019-10-09,한글날
2019-12-25,기독탄신일
2020-01-01,신정연휴
2020-01-24,설날 전날
2020-01-25,설날
2020-01-26,설날 다음날
2020-01-27,설날 대체 휴일
2020-03-01,삼일절
2020-04-15,국회의원 선거일
2020-04-30,부처님오신날
2020-05-05,어린이날
2020-06-06,현충일
2020-08-15,광복절
2020-08-17,임시공휴일
2020-09-30,추석 전날
2020-10-01,추석
2020-10-02,추석 다음날
2020-10-03,개천절
2020-10-09,한글날
2020-12-25,기독탄신일
2021-01-01,신정연휴
2021-02-11,설날 전날
2021-02-12,설날
2021-02-13,설날 다음날
2021-03-01,삼일절
2021-05-05,어린이날
2021-05-19,부처님오신날
2021-06-06,현충일
2021-08-15,광복절
2021-08-16,광복절 대체 휴일
2021-09-20,추석 전날
2021-09-21,추석
2021-09-22,추석 다음날
2021-10-03,개천절
2021-10-04,개천절 대체 휴일
2021-10-09,한글날
2021-10-11,한글날 대체 휴일
2021-12-25,기독탄신일
2022-01-01,신정연휴
2022-01-31,설날 전날
2022-02-01,설날
2022-02-02,설날 다음날
2022-03-01,삼일절
2022-03-09,대통령 선거일
2022-05-05,어린이날
2022-05-08,부처님오신날
2022-06-01,지방선거일
2022-06-06,현충일
2022-08-15,광복절
2022-09-09,추석 전날
2022-09-10,추석
2022-09-11,추석 다음날
2022-09-12,추석 대체 휴일
2022-10-03,개천절
2022-10-09,한글날
2022-10-10,한글날 대체 휴일
2022-12-25,기독탄신일
2023-01-01,신정연휴
2023-01-21,설날 전날
2023-01-22,설날
2023-01-23,설날 다음날
2023-01-24,설날 대체 휴일
2023-03-01,삼일절
2023-05-05,어린이날
2023-05-27,부처님오신날
2023-05-29,부처님오신날 대체 휴일
2023-06-06,현충일
2023-08-15,광복절
2023-09-28,추석 전날
2023-09-29,추석
2023-09-30,추석 다음날
2023-10-02,임시공휴일
2023-10-03,개천절
2023-10-09,한글날
2023-12-25,기독탄신일
2024-01-01,신정연휴
2024-02-09,설날 전날
2024-02-10,설날
2024-02-11,설날 다음날
2024-02-12,설날 대체 휴일
2024-03-01,삼일절
2024-04-10,국회의원 선거일
2024-05-05,어린이날
2024-05-06,어린이날 대체 휴일
2024-05-15,부처님오신날
2024-06-06,현충일
2024-08-15,광복절
2024-09-16,추석 전날
2024-09-17,추석
2024-09-18,추석 다음날
2024-10-01,국군의 날
2024-10-03,개천절
2024-10-09,한글날
2024-12-25,기독탄신일
2025-01-01,신정연휴
2025-01-27,임시공휴일
2025-01-28,설날 전날
2025-01-29,설날
2025-01-30,설날 다음날
2025-03-01,삼일절
2025-03-03,삼일절 대체 휴일
2025-05-05,부처님오신날; 어린이날
2025-05-06,부처님오신날 대체 휴일; 어린이날 대체 휴일
2025-06-03,대통령 선거일
2025-06-06,현충일
2025-08-15,광복절
2025-10-03,개천절
2025-10-05,추석 전날
2025-10-06,추석
2025-10-07,추석 다음날
2025-10-08,추석 대체 휴일
2025-10-09,한글날
2025-12-25,기독탄신일
